Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,2640,2640,100%,0.0,100.00,1282,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BCN86353.1?report=genbank&log$=prottop&blast_rank=1&RID=X39PS6V5013"",""BCN86353.1"")"
"Chain A, Spike glycoprotein [Severe acute respiratory syndrome coronavirus 2]",Severe acute respiratory syndrome coronavirus 2,2638,2638,100%,0.0,100.00,1310,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/6XR8_A?report=genbank&log$=prottop&blast_rank=2&RID=X39PS6V5013"",""6XR8_A"")"
surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,2637,2637,100%,0.0,99.92,1273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJF75467.1?report=genbank&log$=prottop&blast_rank=3&RID=X39PS6V5013"",""QJF75467.1"")"
"Chain C, Spike glycoprotein [Severe acute respiratory syndrome coronavirus 2]",Severe acute respiratory syndrome coronavirus 2,2637,2637,100%,0.0,100.00,1281,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/8DT3_C?report=genbank&log$=prottop&blast_rank=4&RID=X39PS6V5013"",""8DT3_C"")"
surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,2637,2637,100%,0.0,99.92,1273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJX45031.1?report=genbank&log$=prottop&blast_rank=5&RID=X39PS6V5013"",""QJX45031.1"")"
surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,2637,2637,100%,0.0,99.92,1273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJR85953.1?report=genbank&log$=prottop&blast_rank=6&RID=X39PS6V5013"",""QJR85953.1"")"
surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,2637,2637,100%,0.0,99.92,1273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QWB14033.1?report=genbank&log$=prottop&blast_rank=7&RID=X39PS6V5013"",""QWB14033.1"")"
surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,2637,2637,100%,0.0,100.00,1273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_009724390.1?report=genbank&log$=prottop&blast_rank=8&RID=X39PS6V5013"",""YP_009724390.1"")"
surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,2637,2637,100%,0.0,99.92,1273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QRN64146.1?report=genbank&log$=prottop&blast_rank=9&RID=X39PS6V5013"",""QRN64146.1"")"
surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,2637,2637,100%,0.0,99.92,1273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QNN86157.1?report=genbank&log$=prottop&blast_rank=10&RID=X39PS6V5013"",""QNN86157.1"")"
surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,2637,2637,100%,0.0,99.92,1273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJF77846.1?report=genbank&log$=prottop&blast_rank=11&RID=X39PS6V5013"",""QJF77846.1"")"
surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,2637,2637,100%,0.0,99.92,1273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QRN78371.1?report=genbank&log$=prottop&blast_rank=12&RID=X39PS6V5013"",""QRN78371.1"")"
surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,2637,2637,100%,0.0,99.92,1273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QMS52716.1?report=genbank&log$=prottop&blast_rank=13&RID=X39PS6V5013"",""QMS52716.1"")"
surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,2636,2636,100%,0.0,99.92,1273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIZ16509.1?report=genbank&log$=prottop&blast_rank=14&RID=X39PS6V5013"",""QIZ16509.1"")"
surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,2636,2636,100%,0.0,99.92,1273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QMI90807.1?report=genbank&log$=prottop&blast_rank=15&RID=X39PS6V5013"",""QMI90807.1"")"
